자치단체명,세출총계
서울특별시 종로구,794024.7
서울특별시 중구,629343.0
서울특별시 용산구,800080.8
서울특별시 성동구,753812.0
서울특별시 광진구,976997.6
서울특별시 동대문구,912903.5
서울특별시 중랑구,1114388.2
서울특별시 성북구,1138797.7
서울특별시 강북구,1207452.4
서울특별시 도봉구,874719.7
서울특별시 노원구,1261564.4
서울특별시 은평구,1131582.7
서울특별시 서대문구,878984.5
서울특별시 마포구,853018.7
서울특별시 양천구,1130992.9
서울특별시 강서구,1454534.0
서울특별시 구로구,1033041.0
서울특별시 금천구,756213.6
서울특별시 영등포구,887828.2
서울특별시 동작구,957899.2
서울특별시 관악구,1055110.7
서울특별시 서초구,1090781.2
서울특별시 강남구,1760317.1
서울특별시 송파구,1330580.1
서울특별시 강동구,1120081.6
부산광역시 중구,307929.5
부산광역시 서구,430232.9
부산광역시 동구,401454.5
부산광역시 영도구,406288.4
부산광역시 부산진구,804384.3
부산광역시 동래구,536886.1
부산광역시 남구,579554.6
부산광역시 북구,664960.9
부산광역시 해운대구,915629.2
부산광역시 사하구,638623.7
부산광역시 금정구,606780.0
부산광역시 강서구,472311.5
부산광역시 연제구,496807.5
부산광역시 수영구,435501.6
부산광역시 사상구,536578.1
부산광역시 기장군,868323.2
대구광역시 중구,459354.5
대구광역시 동구,891282.0
대구광역시 서구,688005.6
대구광역시 남구,618060.2
대구광역시 북구,902837.3
대구광역시 수성구,907483.5
대구광역시 달서구,1018223.8
대구광역시 달성군,1052991.3
인천광역시 중구,539331.3
인천광역시 동구,492400.3
인천광역시 미추홀구,979446.9
인천광역시 연수구,794883.4
인천광역시 남동구,1118525.3
인천광역시 부평구,1119113.1
인천광역시 계양구,657817.4
인천광역시 서구,1171947.5
인천광역시 강화군,705160.9
인천광역시 옹진군,439215.6
광주광역시 동구,434927.9
광주광역시 서구,689267.5
광주광역시 남구,560535.4
광주광역시 북구,1039525.8
광주광역시 광산구,902690.3
대전광역시 동구,753048.7
대전광역시 중구,698198.3
대전광역시 서구,1083569.5
대전광역시 유성구,876658.1
대전광역시 대덕구,616594.9
울산광역시 중구,451196.7
울산광역시 남구,686993.6
울산광역시 동구,342740.7
울산광역시 북구,486984.9
울산광역시 울주군,1159757.1
경기도 수원시,3759954.3
경기도 성남시,4806706.1
경기도 고양시,3672206.8
경기도 용인시,3567052.7
경기도 부천시,2576077.4
경기도 안산시,2387703.3
경기도 안양시,2234662.3
경기도 남양주시,2374012.0
경기도 화성시,3500564.8
경기도 평택시,2588759.6
경기도 의정부시,1485744.6
경기도 시흥시,1642402.4
경기도 파주시,2048535.5
경기도 광명시,1147202.7
경기도 김포시,1738232.6
경기도 군포시,1008814.4
경기도 광주시,1610253.6
경기도 이천시,1553857.7
경기도 양주시,1092796.0
경기도 오산시,820479.6
경기도 구리시,911299.4
경기도 안성시,1416198.2
경기도 포천시,1522247.0
경기도 의왕시,695049.4
경기도 하남시,1157406.1
경기도 여주시,1296765.5
경기도 동두천시,790856.4
경기도 과천시,739666.2
경기도 양평군,952802.6
경기도 가평군,658434.8
경기도 연천군,718288.7
강원특별자치도 춘천시,1787371.3
강원특별자치도 원주시,1751367.8
강원특별자치도 강릉시,1595231.9
강원특별자치도 동해시,519584.6
강원특별자치도 태백시,653980.8
강원특별자치도 속초시,549306.3
강원특별자치도 삼척시,638830.3
강원특별자치도 홍천군,921479.0
강원특별자치도 횡성군,673089.9
강원특별자치도 영월군,568538.4
강원특별자치도 평창군,631834.2
강원특별자치도 정선군,642234.2
강원특별자치도 철원군,575844.9
강원특별자치도 화천군,423996.0
강원특별자치도 양구군,499752.1
강원특별자치도 인제군,654451.8
강원특별자치도 고성군,455493.8
강원특별자치도 양양군,498174.2
충청북도 청주시,3778912.9
충청북도 충주시,1513745.9
충청북도 제천시,1279037.6
충청북도 보은군,559526.8
충청북도 옥천군,696473.1
충청북도 영동군,751974.1
충청북도 증평군,317039.7
충청북도 진천군,723479.0
충청북도 괴산군,620351.7
충청북도 음성군,911079.3
충청북도 단양군,473188.7
충청남도 천안시,2663740.8
충청남도 공주시,1115000.0
충청남도 보령시,946997.0
충청남도 아산시,1574900.4
충청남도 서산시,1227665.6
충청남도 논산시,1142615.6
충청남도 계룡시,322824.6
충청남도 당진시,1186175.9
충청남도 금산군,727000.0
충청남도 부여군,884479.2
충청남도 서천군,625668.4
충청남도 청양군,622300.0
충청남도 홍성군,916897.3
충청남도 예산군,834417.8
충청남도 태안군,794995.4
전라북도 전주시,2679106.2
전라북도 군산시,1858643.9
전라북도 익산시,1774976.4
전라북도 정읍시,1339152.9
전라북도 남원시,1119666.2
전라북도 김제시,1078221.6
전라북도 완주군,959848.6
전라북도 진안군,613399.7
전라북도 무주군,602985.0
전라북도 장수군,515519.1
전라북도 임실군,555377.0
전라북도 순창군,570227.1
전라북도 고창군,835694.4
전라북도 부안군,848239.1
전라남도 목포시,1059979.3
전라남도 여수시,1639176.1
전라남도 순천시,1693250.1
전라남도 나주시,1028052.9
전라남도 광양시,1242136.9
전라남도 담양군,546394.1
전라남도 곡성군,534420.8
전라남도 구례군,418432.7
전라남도 고흥군,884938.0
전라남도 보성군,779158.0
전라남도 화순군,774431.9
전라남도 장흥군,562080.7
전라남도 강진군,512675.4
전라남도 해남군,1117421.3
전라남도 영암군,695831.7
전라남도 무안군,688824.2
전라남도 함평군,602453.1
전라남도 영광군,716438.5
전라남도 장성군,551699.3
전라남도 완도군,716366.0
전라남도 진도군,482944.3
전라남도 신안군,686450.3
경상북도 포항시,2653517.0
경상북도 경주시,2101324.2
경상북도 김천시,1385888.2
경상북도 안동시,1772750.7
경상북도 구미시,2308603.3
경상북도 영주시,1194502.9
경상북도 영천시,1223400.0
경상북도 상주시,1485951.7
경상북도 문경시,1058355.0
경상북도 경산시,1409393.8
경상북도 군위군,508648.8
경상북도 의성군,751396.4
경상북도 청송군,475453.5
경상북도 영양군,429917.0
경상북도 영덕군,674782.9
경상북도 청도군,708826.6
경상북도 고령군,437112.0
경상북도 성주군,621000.0
경상북도 칠곡군,678500.0
경상북도 예천군,677749.9
경상북도 봉화군,543143.6
경상북도 울진군,819670.7
경상북도 울릉군,314447.1
경상남도 창원시,3991354.9
경상남도 진주시,2299433.4
경상남도 통영시,873372.9
경상남도 사천시,961045.7
경상남도 김해시,2168409.6
경상남도 밀양시,1225571.3
경상남도 거제시,1422933.1
경상남도 양산시,1744707.5
경상남도 의령군,593751.1
경상남도 함안군,819813.3
경상남도 창녕군,751223.2
경상남도 고성군,788593.1
경상남도 남해군,742417.3
경상남도 하동군,710557.6
경상남도 산청군,684623.1
경상남도 함양군,671812.1
경상남도 거창군,921525.3
경상남도 합천군,875197.7
