행정구역별(1),행정구역별(2),재정자립도(세입과목개편후)
전국,소계,45
서울특별시,소계,75.4
,종로구,46.7
,중구,55.8
,용산구,41.7
,성동구,34.5
,광진구,26.1
,동대문구,23.8
,중랑구,21.6
,성북구,20.7
,강북구,17.2
,도봉구,20
,노원구,16.5
,은평구,18.1
,서대문구,25.2
,마포구,33
,양천구,25.3
,강서구,21.1
,구로구,22.1
,금천구,23.6
,영등포구,37.4
,동작구,27.4
,관악구,19.9
,서초구,57.3
,강남구,60.4
,송파구,37.4
,강동구,25.6
부산광역시,소계,46
,중구,23.7
,서구,13.6
,동구,17.3
,영도구,10.7
,부산진구,21.3
,동래구,22.3
,남구,19.6
,북구,11.1
,해운대구,29.6
,사하구,16.4
,금정구,17.1
,강서구,42.7
,연제구,18.7
,수영구,20
,사상구,19.1
,기장군,26.6
대구광역시,소계,47.4
,중구,28.6
,동구,17.3
,서구,13.9
,남구,10.6
,북구,17.7
,수성구,28.6
,달서구,21.1
,달성군,29.3
인천광역시,소계,52.4
,중구,39.5
,동구,13
,연수구,30.9
,남동구,19.6
,부평구,16.9
,계양구,16.6
,서구,32
,미추홀구,14.2
,강화군,12.3
,옹진군,8.7
광주광역시,소계,42.3
,동구,15.6
,서구,17
,남구,14
,북구,13.3
,광산구,20.6
대전광역시,소계,42.3
,동구,11.1
,중구,12.6
,서구,16.8
,유성구,28.7
,대덕구,14.4
울산광역시,소계,49.8
,중구,16.9
,남구,26.5
,동구,19.2
,북구,24.5
,울주군,32.5
세종특별자치시,소계,57.2
경기도,소계,60.5
,수원시,46
,성남시,59.6
,의정부시,22.6
,안양시,39.6
,부천시,31.1
,광명시,36
,평택시,45.8
,동두천시,13.9
,안산시,37.2
,고양시,32.7
,과천시,45.3
,구리시,28.4
,남양주시,30.6
,오산시,33.9
,시흥시,40
,군포시,32.7
,의왕시,35.7
,하남시,51.5
,용인시,47.9
,파주시,30
,이천시,43.9
,안성시,29.6
,김포시,37.2
,화성시,61.1
,광주시,36.6
,양주시,26.7
,포천시,24.6
,여주시,21.5
,연천군,15
,가평군,20.5
,양평군,20.5
강원특별자치도,소계,25.4
,춘천시,20.1
,원주시,19
,강릉시,15.1
,동해시,15.6
,태백시,13.1
,속초시,17.5
,삼척시,13.5
,홍천군,11.7
,횡성군,10.9
,영월군,11.5
,평창군,11.5
,정선군,12.3
,철원군,9.9
,화천군,7
,양구군,9.6
,인제군,8.1
,고성군,8.3
,양양군,11.1
충청북도,소계,32.1
,충주시,18.2
,제천시,13.9
,청주시,30.5
,보은군,10.4
,옥천군,10.7
,영동군,8.2
,진천군,26.4
,괴산군,9.3
,음성군,23
,단양군,11.4
,증평군,15.7
충청남도,소계,33.6
,천안시,31.2
,공주시,13.2
,보령시,14.5
,아산시,34.9
,서산시,23.5
,논산시,12.1
,계룡시,18.7
,당진시,22.7
,금산군,11.2
,부여군,9.4
,서천군,9.7
,청양군,9.4
,홍성군,14.1
,예산군,12.1
,태안군,12.1
전북특별자치도,소계,23.8
,전주시,23.9
,군산시,15.9
,익산시,15.3
,정읍시,9.6
,남원시,8.6
,김제시,10.1
,완주군,16.3
,진안군,7
,무주군,7.2
,장수군,7
,임실군,7.7
,순창군,8.1
,고창군,7.9
,부안군,8.8
전라남도,소계,23.9
,목포시,18.7
,여수시,26.9
,순천시,19.7
,나주시,15.2
,광양시,22.6
,담양군,11.1
,곡성군,8.7
,구례군,7.7
,고흥군,6.8
,보성군,8.1
,화순군,14.4
,장흥군,7.5
,강진군,7.6
,해남군,7.7
,영암군,11.1
,무안군,13.2
,함평군,7.6
,영광군,11.7
,장성군,11
,완도군,6.2
,진도군,7.8
,신안군,6.9
경상북도,소계,25.3
,포항시,25.4
,경주시,17.8
,김천시,12
,안동시,11.2
,구미시,27.6
,영주시,11.5
,영천시,12.8
,상주시,8.6
,문경시,8.4
,경산시,21.9
,군위군,7.4
,의성군,9.3
,청송군,6.9
,영양군,6.3
,영덕군,7.6
,청도군,8.2
,고령군,10.7
,성주군,11.6
,칠곡군,20
,예천군,9.5
,봉화군,6.2
,울진군,10.9
,울릉군,11.5
경상남도,소계,33.7
,진주시,19
,통영시,12.3
,사천시,14.6
,김해시,28.2
,밀양시,14.8
,거제시,16.5
,양산시,25.2
,창원시,31.2
,의령군,7.7
,함안군,15.1
,창녕군,13.1
,고성군,9.4
,남해군,8.9
,하동군,10.4
,산청군,8.2
,함양군,9.9
,거창군,8.5
,합천군,8.1
제주특별자치도,소계,33.3
