지자체명,재정자립도
서울특별시,75.4
서울특별시 종로구,46.7
서울특별시 중구,55.8
서울특별시 용산구,41.7
서울특별시 성동구,34.5
서울특별시 광진구,26.1
서울특별시 동대문구,23.8
서울특별시 중랑구,21.6
서울특별시 성북구,20.7
서울특별시 강북구,17.2
서울특별시 도봉구,20.0
서울특별시 노원구,16.5
서울특별시 은평구,18.1
서울특별시 서대문구,25.2
서울특별시 마포구,33.0
서울특별시 양천구,25.3
서울특별시 강서구,21.1
서울특별시 구로구,22.1
서울특별시 금천구,23.6
서울특별시 영등포구,37.4
서울특별시 동작구,27.4
서울특별시 관악구,19.9
서울특별시 서초구,57.3
서울특별시 강남구,60.4
서울특별시 송파구,37.4
서울특별시 강동구,25.6
부산광역시,46.0
부산광역시 중구,23.7
부산광역시 서구,13.6
부산광역시 동구,17.3
부산광역시 영도구,10.7
부산광역시 부산진구,21.3
부산광역시 동래구,22.3
부산광역시 남구,19.6
부산광역시 북구,11.1
부산광역시 해운대구,29.6
부산광역시 사하구,16.4
부산광역시 금정구,17.1
부산광역시 강서구,42.7
부산광역시 연제구,18.7
부산광역시 수영구,20.0
부산광역시 사상구,19.1
부산광역시 기장군,26.6
대구광역시,47.4
대구광역시 중구,28.6
대구광역시 동구,17.3
대구광역시 서구,13.9
대구광역시 남구,10.6
대구광역시 북구,17.7
대구광역시 수성구,28.6
대구광역시 달서구,21.1
대구광역시 달성군,29.3
인천광역시,52.4
인천광역시 중구,39.5
인천광역시 동구,13.0
인천광역시 연수구,30.9
인천광역시 남동구,19.6
인천광역시 부평구,16.9
인천광역시 계양구,16.6
인천광역시 서구,32.0
인천광역시 미추홀구,14.2
인천광역시 강화군,12.3
인천광역시 옹진군,8.7
광주광역시,42.3
광주광역시 동구,15.6
광주광역시 서구,17.0
광주광역시 남구,14.0
광주광역시 북구,13.3
광주광역시 광산구,20.6
대전광역시,42.3
대전광역시 동구,11.1
대전광역시 중구,12.6
대전광역시 서구,16.8
대전광역시 유성구,28.7
대전광역시 대덕구,14.4
울산광역시,49.8
울산광역시 중구,16.9
울산광역시 남구,26.5
울산광역시 동구,19.2
울산광역시 북구,24.5
울산광역시 울주군,32.5
세종특별자치시,57.2
경기도,60.5
경기도 수원시,46.0
경기도 성남시,59.6
경기도 의정부시,22.6
경기도 안양시,39.6
경기도 부천시,31.1
경기도 광명시,36.0
경기도 평택시,45.8
경기도 동두천시,13.9
경기도 안산시,37.2
경기도 고양시,32.7
경기도 과천시,45.3
경기도 구리시,28.4
경기도 남양주시,30.6
경기도 오산시,33.9
경기도 시흥시,40.0
경기도 군포시,32.7
경기도 의왕시,35.7
경기도 하남시,51.5
경기도 용인시,47.9
경기도 파주시,30.0
경기도 이천시,43.9
경기도 안성시,29.6
경기도 김포시,37.2
경기도 화성시,61.1
경기도 광주시,36.6
경기도 양주시,26.7
경기도 포천시,24.6
경기도 여주시,21.5
경기도 연천군,15.0
경기도 가평군,20.5
경기도 양평군,20.5
강원특별자치도,25.4
강원특별자치도 춘천시,20.1
강원특별자치도 원주시,19.0
강원특별자치도 강릉시,15.1
강원특별자치도 동해시,15.6
강원특별자치도 태백시,13.1
강원특별자치도 속초시,17.5
강원특별자치도 삼척시,13.5
강원특별자치도 홍천군,11.7
강원특별자치도 횡성군,10.9
강원특별자치도 영월군,11.5
강원특별자치도 평창군,11.5
강원특별자치도 정선군,12.3
강원특별자치도 철원군,9.9
강원특별자치도 화천군,7.0
강원특별자치도 양구군,9.6
강원특별자치도 인제군,8.1
강원특별자치도 고성군,8.3
강원특별자치도 양양군,11.1
충청북도,32.1
충청북도 충주시,18.2
충청북도 제천시,13.9
충청북도 청주시,30.5
충청북도 보은군,10.4
충청북도 옥천군,10.7
충청북도 영동군,8.2
충청북도 진천군,26.4
충청북도 괴산군,9.3
충청북도 음성군,23.0
충청북도 단양군,11.4
충청북도 증평군,15.7
충청남도,33.6
충청남도 천안시,31.2
충청남도 공주시,13.2
충청남도 보령시,14.5
충청남도 아산시,34.9
충청남도 서산시,23.5
충청남도 논산시,12.1
충청남도 계룡시,18.7
충청남도 당진시,22.7
충청남도 금산군,11.2
충청남도 부여군,9.4
충청남도 서천군,9.7
충청남도 청양군,9.4
충청남도 홍성군,14.1
충청남도 예산군,12.1
충청남도 태안군,12.1
전라북도,23.8
전라북도 전주시,23.9
전라북도 군산시,15.9
전라북도 익산시,15.3
전라북도 정읍시,9.6
전라북도 남원시,8.6
전라북도 김제시,10.1
전라북도 완주군,16.3
전라북도 진안군,7.0
전라북도 무주군,7.2
전라북도 장수군,7.0
전라북도 임실군,7.7
전라북도 순창군,8.1
전라북도 고창군,7.9
전라북도 부안군,8.8
전라남도,23.9
전라남도 목포시,18.7
전라남도 여수시,26.9
전라남도 순천시,19.7
전라남도 나주시,15.2
전라남도 광양시,22.6
전라남도 담양군,11.1
전라남도 곡성군,8.7
전라남도 구례군,7.7
전라남도 고흥군,6.8
전라남도 보성군,8.1
전라남도 화순군,14.4
전라남도 장흥군,7.5
전라남도 강진군,7.6
전라남도 해남군,7.7
전라남도 영암군,11.1
전라남도 무안군,13.2
전라남도 함평군,7.6
전라남도 영광군,11.7
전라남도 장성군,11.0
전라남도 완도군,6.2
전라남도 진도군,7.8
전라남도 신안군,6.9
경상북도,25.3
경상북도 포항시,25.4
경상북도 경주시,17.8
경상북도 김천시,12.0
경상북도 안동시,11.2
경상북도 구미시,27.6
경상북도 영주시,11.5
경상북도 영천시,12.8
경상북도 상주시,8.6
경상북도 문경시,8.4
경상북도 경산시,21.9
경상북도 군위군,7.4
경상북도 의성군,9.3
경상북도 청송군,6.9
경상북도 영양군,6.3
경상북도 영덕군,7.6
경상북도 청도군,8.2
경상북도 고령군,10.7
경상북도 성주군,11.6
경상북도 칠곡군,20.0
경상북도 예천군,9.5
경상북도 봉화군,6.2
경상북도 울진군,10.9
경상북도 울릉군,11.5
경상남도,33.7
경상남도 진주시,19.0
경상남도 통영시,12.3
경상남도 사천시,14.6
경상남도 김해시,28.2
경상남도 밀양시,14.8
경상남도 거제시,16.5
경상남도 양산시,25.2
경상남도 창원시,31.2
경상남도 의령군,7.7
경상남도 함안군,15.1
경상남도 창녕군,13.1
경상남도 고성군,9.4
경상남도 남해군,8.9
경상남도 하동군,10.4
경상남도 산청군,8.2
경상남도 함양군,9.9
경상남도 거창군,8.5
경상남도 합천군,8.1
제주특별자치도,33.3
